日付,新規報告者数/10万人/週（人）,感染経路不明割合（％）,PCR陽性率（％）,療養者数/10万人（人）,病床全体の使用率（％）,病床全体の使用率_分子（人）,病床全体の使用率_分母（床）,入院率（％）,入院率_分子（人）,入院率_分母（人）,重症者用病床の使用率（％）,重症者用病床の使用率_分子（人）,重症者用病床の使用率_分母（床）
2021-06-30,,,,,,,,,,,31.9,385,1207
2021-07-01,,,,,,,,,,,33.1,399,1207
2021-07-02,,,,,,,,,,,34.8,420,1207
2021-07-03,,,,,,,,,,,35.5,429,1207
2021-07-04,,,,,,,,,,,35.9,433,1207
2021-07-05,,,,,,,,,,,36.6,442,1207
2021-07-06,30.3,61.9,5.8,35.5,27.6,1671,6044,34.0,1677,4935,38.7,467,1207
2021-07-07,31.8,61.4,6.1,38.5,26.4,1667,6314,31.2,1673,5360,39.6,478,1207
2021-07-08,33.4,60.9,6.3,40.8,28.1,1774,6314,31.3,1782,5685,41.6,502,1207
2021-07-09,34.5,61.1,6.4,42.3,29.3,1849,6314,31.6,1857,5885,42.8,516,1207
2021-07-10,36.2,61.4,6.6,45.0,29.5,1862,6314,29.8,1870,6270,43.2,521,1207
2021-07-11,36.9,61.8,6.6,44.9,30.0,1894,6314,30.5,1902,6246,43.3,523,1207
2021-07-12,38.1,61.6,6.8,44.3,30.7,1939,6314,31.6,1947,6164,43.4,524,1207
2021-07-13,39.8,61.4,6.8,45.7,31.3,1977,6314,31.2,1986,6366,45.1,544,1207
2021-07-14,41.4,61.5,7.2,49.3,31.8,2011,6314,29.5,2023,6864,44.6,538,1207
2021-07-15,44.4,62.3,7.6,53.6,32.8,2073,6314,27.9,2084,7466,46.9,566,1207
2021-07-16,47.6,62.3,8.1,58.0,35.0,2213,6314,27.5,2224,8078,47.9,578,1207
2021-07-17,50.9,61.9,8.9,63.0,36.0,2270,6314,26.0,2281,8764,47.7,576,1207
2021-07-18,53.7,61.5,8.9,64.6,36.3,2293,6314,25.6,2304,8993,47.7,576,1207
2021-07-19,55.3,61.5,9.6,63.8,37.0,2335,6314,26.4,2346,8881,51.3,619,1207
2021-07-20,59.3,61.6,10.2,68.1,37.1,2377,6406,25.2,2388,9485,51.7,624,1207
2021-07-21,64.2,62.4,10.7,74.7,38.3,2456,6406,23.7,2466,10396,52.8,637,1207
2021-07-22,69.1,62.4,10.7,83.6,39.6,2536,6406,21.9,2544,11637,54.2,654,1207
2021-07-23,69.7,62.4,12.2,85.9,39.8,2550,6406,21.4,2558,11957,55.4,669,1207
2021-07-24,67.7,62.5,13.1,85.3,41.1,2630,6406,22.2,2638,11881,56.2,678,1207
2021-07-25,73.1,62.7,13.1,90.8,40.9,2623,6406,20.8,2632,12635,56.0,676,1207
2021-07-26,78.1,62.9,14.5,92.2,42.3,2708,6406,21.2,2717,12831,58.2,703,1207
2021-07-27,88.6,63.7,15.7,103.2,44.5,2853,6406,19.9,2864,14372,61.4,741,1207
2021-07-28,98.3,64.4,16.9,117.4,46.5,2981,6406,18.3,2995,16344,64.0,773,1207
2021-07-29,111.8,65.3,18.0,135.8,47.2,3022,6406,16.1,3039,18910,65.4,789,1207
2021-07-30,125.8,65.8,19.0,149.5,48.6,3116,6406,15.1,3135,20817,66.5,803,1207
2021-07-31,146.8,65.8,19.5,167.5,49.8,3190,6406,13.8,3209,23319,68.4,826,1207
2021-08-01,156.1,65.7,19.5,178.0,49.1,3147,6406,12.8,3166,24774,69.6,840,1207
2021-08-02,161.6,65.7,19.8,182.7,50.1,3212,6406,12.7,3231,25431,72.2,871,1207
2021-08-03,167.8,65.3,20.1,198.2,52.0,3331,6406,12.1,3351,27585,72.2,871,1207
2021-08-04,174.9,65.0,20.7,213.4,52.8,3380,6406,11.4,3399,29703,68.5,827,1207
